"";"human";"OTHER"
"human body";1131;0
"human buccal mucosa swab";42;0
"human cadaver";104;0
"Human colon";1;0
"human construction";0;0
"human digestive tract";1417;0
"human feces";24;0
"human gut";3915;0
"Human gut";838;0
"Human Gut";40;0
"human gut microbiome";208;0
"Human gut microbiome";2;0
"Human gut stool";320;0
"human hard palate swab";29;0
"human host";35;0
"human Keratinized gingiva swab";31;0
"human lung";401;0
"Human lung microbiome.";3;0
"human lung tissue";395;0
"human microbiome";407;0
"Human microbiome";920;0
"Human Microbiome";798;0
"human oral";567;0
"human oral cavity";3237;0
"Human oral cavity";15;0
"human oral mucosa model";9;0
"human oral wash";41;0
"human Palatine tonsils swab";42;0
"human peridontal picket";10;0
"human respiratory system";24;0
"human saliva";34;0
"Human saliva";1319;0
"human skin";487;0
"human sputum subject1";1;0
"Human stool";0;0
"Human subgingival microbiome";24;0
"human Supragingival plaque scrape";34;0
"human tongue dorsum swab";37;0
"human urinary microbiome";47;0
"Human vagina";85;0
"human_gut";10;0
"human_lung";193;0
"human_oral_cavity";50;0
"human_stool";1016;0
"HumanGut";22;0
"hydrothermal vent";0;0
"Hydrothermal vent";0;0
"hypersaline";0;0
"hypersaline environment";0;0
"hypersaline water";0;0
"in situ Sea Water";0;0
"in vitro biofilm grown from human saliva";7;0
"in vitro culture";6;0
"indoor kitchen";0;0
"indoor microbiome";0;0
"Industrial cooling water";0;0
"industrial landfill";0;0
"Industry";0;0
"inpatient_icu";715;0
"Insect and food";0;1
"insect gut";0;14
"internal/external nematode body";0;0
"International Space Station - Russian Service Module";0;0
"intertidal sediment";0;0
"intertidal sediment replicate1";0;0
"intertidal sediment replicate2";0;0
"Intertidal Zone";0;0
"intestine";1493;4
"Intestine and spleen";0;0
"intestine environment";578;464
"iron oxyhydroxides rich mound";0;0
"kelp forest";0;145
"kit_reagents";1;0
"lab";0;11
"lab-scale biogas reactor";0;0
"Lab environment";0;0
"lab incubation";0;0
"laboratory";188;27
"Laboratory";0;0
"Laboratory Blank";0;0
"Laboratory contaminants";0;2
"laboratory enrichment";0;0
"Laboratory environment (ENVO_01001405)";0;0
"laboratory insectary";0;20
"Laboratory reactor";0;0
"laboratory/specific-pathogen-free mouse house";0;285
"lagoon [ENVO:00000038]";0;0
"lake";0;0
"Lake";0;0
"Lake Lugano";0;0
"lake sediment";0;0
"Lake Taihu sediment";0;0
"Lakes";0;0
"Large intestine";0;2
"large lake biome";0;0
"large lake ENVO:00000891";0;0
"large river biome";0;0
"leaf";0;96
"Leaf";0;2
"leaf litter";0;0
"lentic water body";0;0
"lesion site";1;0
"lichen";0;0
"lichens";0;0
"Liquid";0;0
"Lotic";0;32
"lower airways";37;0
"lower digestive tract";148;1320
"lower intestine";0;28
"lowland rainforest";0;0
"lowland rocky";0;0
"lowland sandy";0;0
"lung";27;0
"Lung";885;0
"lung-microbiome";26;0
"lung [UBERON:0002048]";50;0
"Lung lower airway";184;0
"lung microbiome";567;0
"Lung_1";1;0
"Lung_10";1;0
"Lung_11";1;0
"Lung_12";1;0
"Lung_2";1;0
"Lung_3";1;0
"Lung_4";1;0
"Lung_5";1;0
"Lung_6";1;0
"Lung_7";1;0
"Lung_8";1;0
"Lung_9";1;0
"mammalia-associated habitat";0;288
"mangrove";0;0
"Mangrove";0;0
"mangrove biome";0;0
"manure";0;465
"marginal sea";0;0
"marginal sea biome";0;0
"marginal sea biome [ENVO:01000046]";0;0
"marine";0;2
"Marine";0;0
"Marine (coastal seawater)";0;0
"marine abyssal zone biome";0;0
"marine abyssal zone biome [ENVO:01000027]|polar biome [ENVO_01000339]";0;0
"marine algal bloom";0;0
"marine basaltic hydrothermal vent biome";0;0
"marine bathyal zone";0;0
"marine bathyal zone biome";0;0
"marine benthic";0;0
"marine benthic biome";0;0
"marine benthos";0;0
"marine biom";0;0
"marine biome";0;52
"Marine biome";0;0
"Marine Biome";0;0
"marine biome ";0;0
"Marine biome - coastal";0;0
"marine biome (ENVO: 00000428)";0;0
"marine biome (ENVO:00000428)";0;0
